Month,Composite_VIX
1970-01-31 00:00:00-05:00,13.53901890870808
1970-02-28 00:00:00-05:00,15.706652354545175
1970-03-31 00:00:00-05:00,15.410472552887406
1970-04-30 00:00:00-04:00,16.399114429131124
1970-05-31 00:00:00-04:00,34.97543137863773
1970-06-30 00:00:00-04:00,21.522465743773605
1970-07-31 00:00:00-04:00,19.199134569458835
1970-08-31 00:00:00-04:00,19.009747226845263
1970-09-30 00:00:00-04:00,15.609035051682413
1970-10-31 00:00:00-05:00,15.531511604148134
1970-11-30 00:00:00-05:00,14.762981890576564
1970-12-31 00:00:00-05:00,11.50789344497591
1971-01-31 00:00:00-05:00,12.390481377000903
1971-02-28 00:00:00-05:00,12.502911526089747
1971-03-31 00:00:00-05:00,11.671318408073336
1971-04-30 00:00:00-04:00,10.372731190559051
1971-05-31 00:00:00-04:00,12.302683533372857
1971-06-30 00:00:00-04:00,14.475411529744065
1971-07-31 00:00:00-04:00,13.073413846828469
1971-08-31 00:00:00-04:00,21.010650743091144
1971-09-30 00:00:00-04:00,12.663994674218372
1971-10-31 00:00:00-04:00,13.048145359192999
1971-11-30 00:00:00-05:00,19.489296771131876
1971-12-31 00:00:00-05:00,14.496855952136256
1972-01-31 00:00:00-05:00,12.280833970377596
1972-02-29 00:00:00-05:00,10.47156113399135
1972-03-31 00:00:00-05:00,12.635799272005414
1972-04-30 00:00:00-05:00,11.782604085340854
1972-05-31 00:00:00-04:00,13.994711978348924
1972-06-30 00:00:00-04:00,11.067415194515661
1972-07-31 00:00:00-04:00,13.395086983395203
1972-08-31 00:00:00-04:00,12.460576924643505
1972-09-30 00:00:00-04:00,12.515455278911583
1972-10-31 00:00:00-05:00,14.56550197835383
1972-11-30 00:00:00-05:00,11.777354649444357
1972-12-31 00:00:00-05:00,12.980992983629166
1973-01-31 00:00:00-05:00,12.513776585178356
1973-02-28 00:00:00-05:00,17.197708169507564
1973-03-31 00:00:00-05:00,17.918196023645613
1973-04-30 00:00:00-04:00,18.03098728654858
1973-05-31 00:00:00-04:00,23.117335637996774
1973-06-30 00:00:00-04:00,20.59984399536888
1973-07-31 00:00:00-04:00,19.224320084943145
1973-08-31 00:00:00-04:00,15.29800533802568
1973-09-30 00:00:00-04:00,15.315558919103202
1973-10-31 00:00:00-05:00,16.727257074858006
1973-11-30 00:00:00-05:00,25.399710849814312
1973-12-31 00:00:00-05:00,30.147137468611348
1974-01-31 00:00:00-04:00,24.103887920692472
1974-02-28 00:00:00-04:00,20.320023271400515
1974-03-31 00:00:00-04:00,18.702975049192112
1974-04-30 00:00:00-04:00,18.652769962280573
1974-05-31 00:00:00-04:00,19.81680062153365
1974-06-30 00:00:00-04:00,21.47102792179421
1974-07-31 00:00:00-04:00,27.290053608903484
1974-08-31 00:00:00-04:00,26.723328477344488
1974-09-30 00:00:00-04:00,33.900781010414654
1974-10-31 00:00:00-05:00,35.38412984702013
1974-11-30 00:00:00-05:00,24.988859479755128
1974-12-31 00:00:00-05:00,25.671235623156324
1975-01-31 00:00:00-05:00,24.0474783132256
1975-02-28 00:00:00-04:00,20.78868615250152
1975-03-31 00:00:00-04:00,21.311266935846806
1975-04-30 00:00:00-04:00,20.394623254891634
1975-05-31 00:00:00-04:00,18.889144646206933
1975-06-30 00:00:00-04:00,16.91054949121107
1975-07-31 00:00:00-04:00,15.481126488898488
1975-08-31 00:00:00-04:00,21.168899332850962
1975-09-30 00:00:00-04:00,20.907134753919188
1975-10-31 00:00:00-05:00,19.278281897034965
1975-11-30 00:00:00-05:00,14.875998835626582
1975-12-31 00:00:00-05:00,16.916648346502605
1976-01-31 00:00:00-05:00,17.42570091540926
1976-02-29 00:00:00-05:00,17.302977534631047
1976-03-31 00:00:00-05:00,16.21049779571971
1976-04-30 00:00:00-04:00,15.6163121850774
