Date,IXIC_close,IXIC_volume
1973-06-01T13:30:00Z,100.98,1
1973-07-02T13:30:00Z,108.64,1
1973-08-01T13:30:00Z,104.87,1
1973-09-03T13:30:00Z,111.2,1
1973-10-01T13:30:00Z,110.17,1
1973-11-01T14:30:00Z,93.51,1
1973-12-03T14:30:00Z,92.19,1
1974-01-01T14:30:00Z,94.93,1
1974-02-01T13:30:00Z,94.35,1
1974-03-01T13:30:00Z,92.27,1
1974-04-01T13:30:00Z,86.86,1
1974-05-01T13:30:00Z,80.2,1
1974-06-03T13:30:00Z,75.96,1
1974-07-01T13:30:00Z,69.99,1
1974-08-01T13:30:00Z,62.37,1
1974-09-02T13:30:00Z,55.67,1
1974-10-01T13:30:00Z,65.23,1
1974-11-01T14:30:00Z,62.95,1
1974-12-02T14:30:00Z,59.82,1
1975-01-01T14:30:00Z,69.78,1
1975-02-03T14:30:00Z,73,1
1975-03-03T13:30:00Z,75.66,1
1975-04-01T13:30:00Z,78.54,1
1975-05-01T13:30:00Z,83.1,1
1975-06-02T13:30:00Z,87.02,1
1975-07-01T13:30:00Z,83.19,1
1975-08-01T13:30:00Z,79.01,1
1975-09-01T13:30:00Z,74.33,1
1975-10-01T13:30:00Z,76.99,1
1975-11-03T14:30:00Z,78.8,1
1975-12-01T14:30:00Z,77.62,1
1976-01-01T14:30:00Z,87.05,1
1976-02-02T14:30:00Z,90.26,1
1976-03-01T14:30:00Z,90.62,1
1976-04-01T14:30:00Z,90.08,1
1976-05-03T13:30:00Z,88.04,1
1976-06-01T13:30:00Z,90.32,1
1976-07-01T13:30:00Z,91.29,1
1976-08-02T13:30:00Z,89.7,1
1976-09-01T13:30:00Z,91.26,1
1976-10-01T13:30:00Z,90.35,1
1976-11-01T14:30:00Z,91.12,1
1976-12-01T14:30:00Z,97.88,1
1977-01-03T14:30:00Z,95.54,1
1977-02-01T14:30:00Z,94.57,1
1977-03-01T14:30:00Z,94.13,1
1977-04-01T14:30:00Z,95.48,1
1977-05-02T13:30:00Z,95.59,1
1977-06-01T13:30:00Z,99.73,1
1977-07-01T13:30:00Z,100.65,1
1977-08-01T13:30:00Z,100.1,1
1977-09-01T13:30:00Z,100.85,1
1977-10-03T13:30:00Z,97.52,1
