Date,SP500_Close,SP500_Volume
1973-05-01,110.61642892020089,14440714.285714285
1973-06-01,107.21954588456587,15330000.0
1973-07-01,104.75476183210101,12795238.095238095
1973-08-01,105.83428519112724,14656190.476190476
1973-09-01,103.79956519085428,11933043.47826087
1973-10-01,105.60526355944182,17319473.684210528
1973-11-01,109.8443484099015,18386956.52173913
1973-12-01,102.03285725911458,19042857.14285714
1974-01-01,94.78400001525878,19219000.0
1974-02-01,96.1100002635609,16506818.181818182
1974-03-01,93.45315872995477,13516315.789473685
1974-04-01,97.43904731387184,14742857.142857144
1974-05-01,92.45619092668805,12108095.238095239
1974-06-01,89.66727308793502,12506818.181818182
1974-07-01,89.78649940490723,12267000.0
1974-08-01,82.81909075650302,12458636.363636363
1974-09-01,76.02500048550692,12731818.181818182
1974-10-01,68.12299957275391,14002500.0
1974-11-01,69.43565169624661,16395652.173913043
1974-12-01,71.7370002746582,14339500.0
1975-01-01,67.07333337692987,15007142.857142856
1975-02-01,72.56409107555042,19661363.636363637
1975-03-01,80.09684191252056,22296842.10526316
1975-04-01,83.83199920654297,22680500.0
1975-05-01,84.72318198464133,20515909.09090909
1975-06-01,90.09619031633649,21785238.095238097
1975-07-01,92.3971434093657,21285714.285714287
1975-08-01,92.48727312954989,20076363.636363637
1975-09-01,85.71380942208427,13403333.333333334
1975-10-01,84.67238071986607,13100952.38095238
1975-11-01,88.57434778628142,15893043.47826087
1975-12-01,90.06526344700863,16779473.684210528
1976-01-01,88.70045471191406,15862272.727272727
1976-02-01,96.8595235915411,30277619.04761905
1976-03-01,100.63947416606702,31375263.157894738
1976-04-01,101.08434793223505,23026086.95652174
1976-05-01,101.92952364966983,18679047.61904762
1976-06-01,101.16199913024903,17795500.0
1976-07-01,101.76681795987216,18965000.0
1976-08-01,104.2009528023856,18750476.19047619
1976-09-01,103.29181844537908,15758181.818181818
1976-10-01,105.45333317347935,19750000.0
1976-11-01,101.88523755754743,17209047.61904762
1976-12-01,101.19349975585938,19051000.0
1977-01-01,104.66090843894266,24297727.272727273
1977-02-01,103.81333305722191,23886666.666666668
1977-03-01,100.95578926487973,20970526.315789472
1977-04-01,100.56956481933594,18899565.217391305
1977-05-01,99.05000076293945,20153000.0
1977-06-01,98.76047588530041,20277142.85714286
1977-07-01,99.28590947931463,22052272.727272727
1977-08-01,100.17842021741365,23814736.842105262
1977-09-01,97.75000033171281,18854347.826086957
1977-10-01,96.23238045828683,18270000.0
1977-11-01,93.73952302478608,19689047.61904762
1977-12-01,94.28333391462054,23556190.476190478
